Assay,Sample ID,Dup.,ABS-1,ABS-2,dilution_factor
Pigment,blank_drydown2_01,NA,,,
Pigment,MIS_183,NA,,,
Pigment,MIS_187,NA,,,
Pigment,MIS_198,NA,,,
Pigment,MIS_199,NA,,,
Pigment,MIS_201,NA,,,
Pigment,MIS_202,NA,,,
Pigment,MIS_206,NA,,,
Pigment,MIS_213,NA,,,
Pigment,MIS_217,NA,,,
Extract,Blank,A,0.129,0.128,1
Extract,Blank,B,0.104,0.103,1
Extract,#5,A,0.904,0.902,1
Extract,#5,B,0.949,0.947,1
Extract,blank_drydown2_01,A,0.112,0.114,1
Extract,blank_drydown2_01,B,0.171,0.172,1
Extract,MIS_183,A,0.32,0.321,0.1
Extract,MIS_183,B,0.343,0.342,0.1
Extract,MIS_187,A,0.379,0.379,1
Extract,MIS_187,B,0.345,0.345,1
Extract,MIS_198,A,0.383,0.382,1
Extract,MIS_198,B,0.346,0.346,1
Extract,MIS_199,A,0.392,0.392,1
Extract,MIS_199,B,0.456,0.457,1
Extract,MIS_201,A,0.459,0.462,1
Extract,MIS_201,B,0.456,0.457,1
Extract,MIS_202,A,0.324,0.324,1
Extract,MIS_202,B,0.366,0.369,1
Extract,MIS_206,A,0.447,0.448,1
Extract,MIS_206,B,0.362,0.365,1
Extract,MIS_213,A,0.363,0.366,0.1
Extract,MIS_213,B,0.41,0.412,0.1
Extract,MIS_217,A,0.365,0.366,1
Extract,MIS_217,B,0.367,0.369,1
