Assay,Sample ID,Dup.,ABS-1,ABS-2
Pigment,blank_drydown2_01,NA,,
Pigment,MIS_183,NA,,
Pigment,MIS_187,NA,,
Pigment,MIS_198,NA,,
Pigment,MIS_199,NA,,
Pigment,MIS_201,NA,,
Pigment,MIS_202,NA,,
Pigment,MIS_206,NA,,
Pigment,MIS_213,NA,,
Pigment,MIS_217,NA,,
Extract,Blank,A,0.312,0.309
Extract,Blank,B,0.331,0.332
Extract,#5,A,1.159,1.157
Extract,#5,B,1.138,1.138
Extract,blank_drydown2_01,A,0.359,0.361
Extract,blank_drydown2_01,B,0.327,0.328
Extract,MIS_183,A,0.516,0.514
Extract,MIS_183,B,0.537,0.538
Extract,MIS_187,A,0.356,0.357
Extract,MIS_187,B,0.395,0.394
Extract,MIS_198,A,0.335,0.335
Extract,MIS_198,B,0.358,0.358
Extract,MIS_199,A,0.384,0.384
Extract,MIS_199,B,0.376,0.376
Extract,MIS_201,A,0.542,0.542
Extract,MIS_201,B,0.529,0.529
Extract,MIS_202,A,0.322,0.322
Extract,MIS_202,B,0.23,0.229
Extract,MIS_206,A,0.489,0.489
Extract,MIS_206,B,0.487,0.488
Extract,MIS_213,A,1.194,1.194
Extract,MIS_213,B,1.2,1.201
Extract,MIS_217,A,0.373,0.373
Extract,MIS_217,B,0.411,0.411
