Assay,SampleID,Dup,Abs1,Abs2
Pigment,SH1_002,NA,0.113,0.115
Pigment,SH1_007,NA,0.184,0.182
Pigment,SH1_008,NA,0.068,0.069
Pigment,SH1_013,NA,0.096,0.096
Pigment,SH1_022,NA,0.089,0.09
Pigment,SH1_038,NA,0.077,0.076
Pigment,SH1_041,NA,0.099,0.098
Pigment,SH1_043,NA,0.105,0.106
Pigment,SH1_067,NA,0.078,0.077
Pigment,B1,NA,0.048,0.048
Extract,Blank,A,0.173,0.172
Extract,Blank,B,0.189,0.189
Extract,#5,A,1.06,1.057
Extract,#5,B,1.122,1.12
Extract,SH1_002,A,0.366,0.366
Extract,SH1_002,B,0.384,0.384
Extract,SH1_007,A,0.635,0.637
Extract,SH1_007,B,0.59,0.59
Extract,SH1_008,A,0.287,0.287
Extract,SH1_008,B,0.391,0.39
Extract,SH1_013,A,0.453,0.454
Extract,SH1_013,B,0.414,0.413
Extract,SH1_022,A,0.735,0.736
Extract,SH1_022,B,0.39,0.39
Extract,SH1_038,A,0.307,0.308
Extract,SH1_038,B,0.296,0.296
Extract,SH1_041,A,0.38,0.38
Extract,SH1_041,B,0.365,0.365
Extract,SH1_043,A,0.364,0.364
Extract,SH1_043,B,0.369,0.368
Extract,SH1_067,A,0.321,0.322
Extract,SH1_067,B,0.306,0.305
Extract,B1,A,0.207,0.206
Extract,B1,B,0.195,0.196
