Assay,Sample ID,Dup.,ABS-1,ABS-2,Dilution_Factor
Pigment,GH1_003,NA,,,
Pigment,GH1_005,NA,,,
Pigment,GH1_007,NA,,,
Pigment,GH1_009,NA,,,
Pigment,GH1_013,NA,,,
Pigment,GH1_016,NA,,,
Pigment,GH1_021,NA,,,
Pigment,GH1_042,NA,,,
Pigment,GH1_099,NA,,,
Pigment,GH1_125,NA,,,
Extract,Blank,A,0.185,0.185,
Extract,Blank,B,0.227,0.227,
Extract,#5,A,1.262,1.262,
Extract,#5,B,1.175,1.175,
Extract,GH1_003,A,0.958,0.958,0.45
Extract,GH1_003,B,0.922,0.921,0.45
Extract,GH1_005,A,0.877,0.876,0.45
Extract,GH1_005,B,0.859,0.859,0.45
Extract,GH1_007,A,0.881,0.881,0.45
Extract,GH1_007,B,0.874,0.874,0.45
Extract,GH1_009,A,0.843,0.844,0.45
Extract,GH1_009,B,0.836,0.841,0.45
Extract,GH1_013,A,1.016,1.015,0.3
Extract,GH1_013,B,1.016,1.015,0.3
Extract,GH1_016,A,1.07,1.073,0.3
Extract,GH1_016,B,1.077,1.081,0.3
Extract,GH1_021,A,0.668,0.668,0.45
Extract,GH1_021,B,0.673,0.673,0.45
Extract,GH1_042,A,0.446,0.446,0.45
Extract,GH1_042,B,0.443,0.444,0.45
Extract,GH1_099,A,0.538,0.539,0.45
Extract,GH1_099,B,0.551,0.55,0.45
Extract,GH1_125,A,0.861,0.861,0.45
Extract,GH1_125,B,0.843,0.843,0.45
