SH1_ID,C_PerC
SH1_001,1.46
SH1_002,1.58
SH1_003,1.4
SH1_004,1.29
SH1_005,3.85
SH1_006,1.82
SH1_007,2.93
SH1_008,2.3
SH1_009,1.91
SH1_011,2.03
SH1_012,1.54
SH1_013,2.45
SH1_014,1.6
SH1_015,2
SH1_016,1.98
SH1_017,0.99
SH1_018,2.2
SH1_019,2.39
SH1_020,2.44
SH1_021,1.2
SH1_022,2.91
SH1_023,1.98
SH1_025,1.88
SH1_026,1.5
SH1_027,1.44
SH1_028,1.75
SH1_029,1.26
SH1_030,1.84
SH1_031,1.68
SH1_032,1.06
SH1_033,1.65
SH1_034,1.29
SH1_035,1.95
SH1_036,0.69
SH1_037,2.65
SH1_038,1.25
SH1_039,1.67
SH1_040,1.88
SH1_041,1.77
SH1_042,1.51
SH1_043,1.23
SH1_044,3.74
SH1_045,2.29
SH1_047,1.41
SH1_048,2.2
SH1_049,1.61
SH1_050,0.89
SH1_051,0.77
SH1_052,1.72
SH1_053,1
SH1_057,2.47
SH1_059,2
SH1_061,2.34
SH1_062,2.04
SH1_063,1.8
SH1_064,2.69
SH1_065,2.78
SH1_066,1.77
SH1_067,1.47
SH1_068,1.24
SH1_069,1.29
SH1_070,1.19
SH1_071,1.13
SH1_072,1.25
SH1_073,1.69
SH1_074,1.4
SH1_075,1.56
SH1_076,1.14
